y,s,a,w1,w2
124.6396644,11.39545145,1,1.846596665,5.182928139
60.28821421,5.081027254,1,1.546035006,4.605679929
11.55891007,-0.929939137,1,3.3139346,5.287235356
35.23465922,3.490763899,1,0.338298902,1.343834925
61.81956008,5.037968646,1,2.811295704,4.329417649
24.32105854,0.64969112,1,2.902624411,4.154910852
87.86219537,6.972556051,1,4.874415706,5.154449777
41.82186163,3.79051166,1,2.221923223,1.397513968
36.1781416,1.600049105,1,3.27935157,5.23294975
63.13367434,6.593064116,1,1.021572306,2.47796118
117.2927921,11.18845971,1,3.749978862,4.658760999
35.99602527,1.955563651,1,5.292993109,2.231024131
13.88906803,0.388247875,1,1.68212304,3.35094114
33.16860375,2.69130463,1,2.390927409,0.455136241
62.50448234,3.950650037,1,4.575306494,5.14134377
70.67423274,5.551804566,1,4.014130274,4.122729926
18.03462677,1.238656865,1,1.227672972,2.01440208
83.5760034,7.401422136,1,2.145149121,2.51021383
80.67670784,7.974907427,1,2.156850689,2.122911628
38.89719921,2.880597569,1,4.14174317,0.026764465
29.79454748,2.330121667,1,3.214866924,0.879142234
13.62259422,-0.743453478,1,4.264823073,4.43977661
102.4313059,10.21314351,1,3.23009219,0.592837562
63.07962574,5.21801076,1,4.493833361,2.216261228
66.11217534,5.101586046,1,2.520608703,4.197169864
60.56831146,5.743083076,1,1.028521276,1.683648685
79.74002882,6.953222328,1,4.621809659,2.806208916
46.57773916,3.522168059,1,5.291721527,0.545250942
63.68695344,5.588011874,1,3.294580262,0.847553421
73.98493754,7.167497026,1,1.66634254,1.576646862
54.7804051,4.023592674,1,2.929835964,3.997197246
81.25692816,6.245231596,1,5.57103045,4.165494103
38.14535079,3.354402539,1,2.092151891,2.527935079
-25.73760993,-5.595998551,1,5.724946245,4.429781766
109.4744541,10.53174021,1,4.171644834,1.421261134
90.80179194,7.995293705,1,5.336721234,2.36049114
73.16733957,6.837617024,1,1.082443471,2.284455949
33.98609261,1.682923928,1,3.776345103,5.330206475
55.52478581,3.609710689,1,5.93738482,2.379057967
86.7293105,9.251214072,1,0.78173322,0.393078715
42.43472138,3.232508256,1,1.983963154,3.093628242
99.63466376,8.940412631,1,5.19072328,2.789964724
39.2409945,2.04692033,1,4.665506636,3.149709822
19.95324187,0.769504052,1,4.963820698,0.901459532
55.90663015,4.277103627,1,3.619946139,4.266005188
77.63998806,7.552680355,1,2.947390932,2.221788971
49.90523698,3.839983614,1,4.682151066,2.720006336
-2.225279703,-2.879740971,1,5.305362165,3.707480886
41.58238414,3.826199518,1,1.246283387,1.702007619
115.4029182,11.84996153,1,1.842515381,1.241897665
79.0073473,6.657656011,1,1.983179089,3.646551106
132.8128137,13.39310507,1,1.192074421,3.997629882
82.14072881,8.830181433,1,1.414165812,1.207440904
27.23318143,0.813798704,1,1.649319962,5.180339454
83.82236037,7.457560337,1,3.547926322,2.61060634
27.97753777,2.20032039,1,1.520343923,0.006590308
91.22637098,9.147785831,1,0.740923382,4.209414861
111.1121317,11.5125245,1,1.379435322,2.457469272
25.84419196,0.945303993,1,3.585451753,1.843889428
57.11664622,5.374956891,1,1.268451336,2.209071301
3.916696863,-1.367033661,1,2.782207069,5.341191453
66.54711962,5.780102892,1,3.882607165,3.962888131
86.12692134,7.53896526,1,5.763438553,1.276243916
5.833262707,-2.042708722,1,4.058389029,5.003926403
44.9130924,3.15127972,1,2.67088813,3.431849465
85.2953599,7.474299284,1,2.146642698,5.606095718
47.94416087,3.867950603,1,2.734388737,1.153244202
86.86234398,8.788115923,1,2.672483861,0.033604274
76.59719531,8.163867494,1,1.470555535,0.497814684
47.93470985,4.144900817,1,4.166104272,0.370084647
34.67210289,2.88048602,1,2.473422211,1.824682469
114.577487,11.12494479,1,1.966355212,3.403069862
74.30895246,5.941863281,1,3.435388602,5.21308124
41.41331741,1.969307457,1,5.801994507,2.471441237
86.17154392,7.94327882,1,3.970674132,2.631933531
66.35973287,5.930527142,1,3.748186301,1.390393232
26.57206296,0.350538069,1,5.139918256,2.162157532
-6.827925263,-2.79372793,1,4.648673329,2.672286201
94.88343873,6.92025333,1,5.004162592,5.351162973
13.90191843,0.216642158,1,0.549061672,2.855277929
109.9228642,10.48538651,1,2.75715292,4.646568606
82.2831445,7.804297238,1,3.596388936,1.843196543
97.23663923,8.271321542,1,5.518331464,4.928212589
64.35533737,5.95006717,1,5.896944464,1.504789723
75.53322873,7.606650328,1,0.226815476,4.494436034
32.81516095,1.218327767,1,3.467624405,4.398437702
86.70937004,7.1227212,1,4.399885009,3.788652224
55.95843649,4.77714455,1,1.492454417,1.709065979
158.4637757,16.3058188,1,1.804419149,2.189643027
40.91202495,1.792660713,1,4.400800209,5.929266491
103.6620813,8.816237977,1,5.441726253,3.990883345
71.37923303,6.21123739,1,1.258900608,2.794859846
74.98704068,7.568728087,1,2.148827935,0.660503166
140.6965825,14.08492485,1,2.689794866,2.328099119
0.442056039,-1.938210653,1,5.438558598,2.908413094
140.6932956,13.21075145,1,2.336635774,3.694940464
63.4636874,5.521048219,1,3.104758497,3.948745115
82.00429405,8.272885318,1,0.751434526,2.185718208
19.34973163,1.411397006,1,0.180874474,3.997402885
74.34149298,6.978055851,1,4.630832967,0.325805138
17.29105513,0.74546364,1,1.964490493,2.912973444
80.70139213,8.129580673,1,2.33687216,1.26516744
84.38164462,9.269603481,1,0.246316527,0.407741658
91.30761219,8.287139688,1,2.168379807,5.009539411
26.58999868,1.377391542,1,3.425868503,3.788192529
82.88432568,8.095362416,1,4.109281452,1.08007721
121.7127514,10.35340683,1,5.826700482,4.78633767
99.01876885,7.911540592,1,4.211752845,5.295488419
63.56301613,5.367640818,1,0.069273028,5.490252305
6.605463714,-0.781875839,1,3.213192773,2.263329003
41.85323334,3.44684787,1,5.019428776,0.630482624
99.76014283,9.588895276,1,4.841200455,2.18307128
122.0522759,11.96272537,1,0.48559586,3.051118981
73.92624976,6.430502068,1,1.433455811,4.244209068
131.031723,11.48572249,1,5.795939184,3.730951086
54.28128426,6.371275051,1,0.226033959,0.192535968
17.16433219,-0.578327396,1,5.498438593,4.591756964
61.38209748,4.850451965,1,4.357359471,3.230590941
94.37661159,9.654048922,1,1.204657285,2.918360365
47.75578228,4.06291434,1,5.041204479,0.839266859
76.93979259,7.063138335,1,2.379974084,3.401203268
95.03657744,9.531304299,1,2.356213556,1.14694869
67.21541495,5.912860469,1,2.835341322,4.057807209
102.6503079,9.485981112,1,3.501941487,2.628970896
47.45470219,3.984464983,1,2.114323013,3.506466177
120.6895878,11.3096169,1,0.170844077,4.555717121
28.75189176,1.494894622,1,5.970527608,0.008199315
-16.34546553,-3.579133938,1,5.745350755,3.125648361
101.4040017,9.217128469,1,3.309907058,2.902670841
123.1576981,13.03850234,1,0.611723745,3.971870081
97.60933944,10.04936209,1,1.427490888,3.6601617
83.10553027,6.867956982,1,5.160585989,3.539124249
57.9064783,3.817222125,1,4.429567718,4.929054597
88.48380952,8.335863446,1,2.983873587,2.48611573
104.5400572,10.71229718,1,3.479526511,1.211335162
96.03773676,9.199786189,1,0.097100311,5.362871176
81.5946348,7.179060532,1,2.83277929,5.226405634
74.47046039,7.190727774,1,0.254338373,4.823630156
56.38589124,5.775500006,1,2.778926498,1.028209628
106.2394119,10.32266114,1,3.779968608,0.606839159
102.5817692,9.189655187,1,4.039495727,5.507779246
45.40289788,3.614001413,1,0.522208024,5.017905288
94.46465767,9.906930233,1,0.861502798,2.303642867
55.03347147,4.289513439,1,5.450870994,1.64167712
59.99736863,4.926023962,1,0.73519554,4.161567331
140.4714217,13.21043472,1,4.373176755,2.280386
13.83133955,-1.924885948,1,5.702263058,5.989033005
62.47722117,6.124111259,1,0.26013549,1.954714261
16.80460842,0.442260507,1,0.117595788,3.076306451
89.53144705,8.725317513,1,1.194434762,3.440168132
72.03256785,7.057421745,1,3.030517569,1.177265768
73.1705126,6.529954242,1,5.558332577,1.83781807
51.88364889,4.590989744,1,0.830410149,4.64783331
10.26607071,-0.729216421,1,1.015167457,4.589108624
66.208768,4.180127111,1,3.639764267,5.103995909
83.7792249,8.102276081,1,4.895260161,1.630907153
44.53709134,1.999071213,1,5.060287245,5.952894083
47.95725366,3.138233069,1,4.728463161,3.283466128
112.7361465,10.88797635,1,0.114125194,5.595682011
57.4527035,4.564982135,1,4.188524981,3.584372451
39.76198908,2.315726522,1,4.890558693,1.335159732
82.59743297,7.434503735,1,3.410400366,0.423722568
84.70141575,7.741426136,1,2.880377297,3.715317811
96.74599704,9.828529249,1,0.968220706,0.633764324
116.4320406,12.07287073,1,0.535537391,4.00661156
53.07217639,4.770607877,1,0.97609425,2.905793814
54.52802315,4.709696379,1,0.160370702,2.950166465
55.15892071,3.225153985,1,4.257776854,5.111135012
37.57467569,2.942708452,1,4.566109062,0.407296888
115.9885678,10.45925197,1,5.144848677,3.489116656
49.26001989,4.889403372,1,2.623594919,0.05555897
75.43006778,6.698303254,1,2.502818681,4.890453856
82.81374415,7.238324201,1,3.513896942,4.445797694
